,file_text,topic
37,"We need to check the stock and whereused of the affected part number. In case if the part is old and the stock is Zero, we need to get clarifications from Flex team.",['need part stock team flex']
38,"Based on their confirmation, the ECO can be considered as no effect on zala.",['zala confirmation consider eco effect']
39,Regular report for Items needs to be generated from Baan to update the item sheet,['update item items report sheet']
40,"Copy and paste the affected items from Arena to the Changes sheet, so that the revisions of the Part number will be automatically linked from the item dump.",['sheet revisions link automatically paste']
41,"Changes sheet need to updated on regular basis, whenever we prepare description of change (Submitted status).",['change regular update submit status']
42,The Material sheet needs to be updates on regular basis for all the ECO’s when we start an ECO (when it is in submit status).,['material eco’s status update regular']
43,"Whenever we release the changes in agile, we need to update the same in ECO tracker as well in material sheet",['material eco update well release']
44,"When we push the effective dates, the same date needs to be updated in both the ECO and the material sheet tracker",['date push tracker update eco']
45,"Once the ECO is implemented in agile, we need to change the general status to closed in material tracker; open – when we have future effective date and yet to get the effective date.",['effective date tracker open status']
46,Use the below link for updating the material sheet,['sheet update link material use']
47,\\10.222.112.93\projects\Citrix\Engineering\Documentation\ECO_Material_Effects_Tracker,['projectscitrixengineeringdocumentationecomaterialeffectstracker']
48,"We need to cross verify the particular change with the eco tracker, agile and with the reference files from flex team(attached in previous changes). We need to clarify the changes with CFT before proceeding",['change need tracker teamattached verify']
49,"When the customer ECO moved from submitted to open and unlocked status, we need to trigger notification mail to approvers and observers through agile.",['unlock trigger observers customer submit']
50,"   (e.g, “Arena ECO-001266 has been rolled back from Submitted to Open and Unlocked (w/drawn to allow SCM (KS) to revise inventory dispo as per Kishore's input).""",['unlock revise kishores submit wdrawn']
51,"If the items are available then,",['available items then']
52,We need to prepare the Description of Change with Affected items in Flex Zala for ECO/MCO/DEV as below:,['items ecomcodev prepare need zala']
53,Affected items in Flex Zala:,['affect flex items zala']
54,"CTX-8340027  104  0104  0104      Firmware, Power Supply, 450W AC, 8900 Series               CTX1DP",['firmware ctxdp series supply ac']
55,CTX-8620027  A  A   B             CAGE AC/DC DUAL 450W POWER SUPPLY                           CTX1AP,['w cage ctx power supply']
56,"CTX-8620028 A   A  A             Power Supply, 450W AC Dummy                                             CTX1AP",['power dummy supply ac ctxap']
57,"CTX-8620030 A   A  B             Power Supply, 450W AC Module w/new bead                   CTX1AP",['power ctxap w supply wnew']
58,"8.4.32.1. If the available items have Revision change,",['available change items revision']
59,then we can mention in the Description of change as Rev roll in Flex Zala,['rev mention roll change flex']
60,The correct sequence of revisions:,['correct revisions sequence']
61,                                  8.4.32.2. Current Baan Revision,['baan current revision']
62,                                  8.4.32.3. Arena Start Revision,['arena revision start']
63,                                  8.4.32.4.Arena End Revision,['arena end revision']
64,"        8.4.32.5. If the available item have BOM changes,",['available bom change item']
65,8.4.32.6. we can mention in the Description of Change as modify BOM in Flex Zala,['mention flex modify bom description']
66,New Learnings:,['learn new']
67,"We need to use the P/N CTX-8340027 instead of CTX-8340027(0104), because our BOM includes it.",['ctx include pn instead bom']
68,Modify BOM in Flex Zala:,['bom flex modify zala']
69,CTX-8250154  B  B   C             Assy Power Supply 450W   CTX1AS,['b power ctx supply w']
70,"delete  CTX-8340027  Firmware, Power Supply, 450W AC, 8900 Series   0 each CTX1DP",['w ctxdp delete series supply']
71,"8.4.32.7. If the Available items are not in system,We need to mention in the Description of change as Not affected in Flex Zala",['mention flex systemwe need zala']
72,"            Note :    Need to check for the OLD items in Flex Zala and OLD SKU’s to be removed from Description if the customer ECO doesn’t have as affected Items.We need to add in the Not used In Flex Zala, if the customer ECO has affected Items in ECO.",['items eco need zala customer']
73,"If the PN in Arena is mentioned as discontinued as lifecycle, we need to mention as “Affected item will be old in Flex Zala”",['mention need zala” pn old']
74,"If the PN in Arena is mentioned as Obsolete, we need to mention as “Affected item will be OBS in Flex Zala”",['mention flex obs pn item']
75,"If the Arena description for a Part number is mentioned as for the purpose for disposition material, then we need to mention in “Affected item will be OBS in Flex Zala”",['mention description zala” number need']
76,"If we have new semifinished BOM’s, we need to show the structure of the semifinished BOM’s in description of change.",['semifinished bom’s show need new']
77,"If the Arena ECO or internal ECO Contains Description change for the PN, which can cause changes in technical characteristics of PN, in this case we need to Create Approval ECO. If Internal ECO Contains only Description correction for the PN, because of some mistyping or misunderstanding and it is not cause any changes in technical characteristics of PN, then Approval ECO creation is not needed, Only Change ECO is needed. But every time ask PJM or requestor for clarification.",['eco pn change need technical']
78,8.4.37.1.Special Items in Flex BOM:,['bom flex items special']
79,"8.4.36.1.1.As per the logistics request earlier, we need to use some Special item in the Flex BOM.","['earlier special request per logistics', 'bom item use need flex']"
80,"8.4.36.1.2.when we find the below type of item, we need to use the Internal Special item in Flex BOM & Mention the Affected item, Affected SKU in Description of change.","['item affect type change mention', 'affect item sku internal bom']"
81,"CTX-872-00004-02_NOSAPC      COA, G2C-00027, 10Mbps                      CTX1CP",['ctxnosapc gc coa ctxcp mbps']
82,"CTX-8720001                        COA, Windows 2012, 6FA-00068, 2Core        CTX1AP",['windows core ctx ctxap fa']
83,"CTX-8720001_NOSAPC       COA, Windows 2012, 6FA-00068, 2Core        CTX1CP",['windows core ctxcp ctxnosapc fa']
84,"CTX-8720003_NOSAPC       COA, Windows 2012 R2, 6FA-00235, 2 Core  CTX1CP",['fa ctxnosapc r coa ctxcp']
85,"When analyzing the BOM Redline from the Arena, Please follow the below steps",['step arena bom follow redline']
86,Click Items Tab,['click items tab']
87,Click Bom Redline,['bom click redline']
88,And Select each and every affected BOM and check for the Redline Changes as below,['every check redline affect change']
89,"When the Customer ECO has moved to Effective Status, we can start implementing the ECO by processing Bom or Change ECO’s",['eco move effective start process']
90,"When the ECO is moved to Effective Status, we can send mail to PJM and ask for the Implementaion date for the ECO (with Description of Change and the Approval ECO)",['eco pjm send mail status']
91,"If any new bom to be downloaded from the Arena, type the Part number in the Search box and click Export Item",['click box number search export']
92,Choose the excel format and select ZAL Export,['zal excel export format select']
93,Click Export now,['click export']
94,Bom will be available in the download tab,['available bom download tab']
95,Go to Downloads tab and download the exported BOM.,['download export go tab bom']
96,"Regarding Arena tracker, if GBS filled the 1st (current) sheet , then need to copy all data into 2nd (all ECOs) sheet. So the Arena status, title, category will be automatically filled in ECO Tracker.",['tracker fill arena sheet st']
97,Two types of Product Types:,['type product two']
98,Normal Manufactured item starts with 850***** (CTX1AM),['manufacture normal ctxam item start']
99,FRU item starts with 853****** (CTX1FM),['ctxfm fru item start']
100,"Bom Structure of 850 item contains,",['bom contain item structure']
101,Kit Packaging – it is a semi-finished phantom item (CTX1AS),['phantom package semifinished ctxas kit']
102,"Kit, Accessory - it is a semi-finished phantom item (CTX3AS)",['semifinished ctxas item kit phantom']
103,But we have two exceptions in the system.,['exceptions system two']
104,"These materials have not been localized, as the demand is zero on them.",['demand localize materials zero']
105,Set Packaging – it is a semi-finished phantom item (CTX1AS),['semifinished phantom set ctxas package']
106,Software / Firmware items – it is a purchased item (CTX1DP),['purchase items software ctxdp item']
107,Sub assy starts with 830***** (CTX1BS),['assy ctxbs start sub']
108,"Kit Packaging Bom should contain (carton Box, Labels, Kit accessory etc.,)",['kit bom etc label box']
109,Kit accessory part number should end with (-MP) to be added (CTX3AS),['end ctxas mp number accessory']
110,PCB Board part number ends with _LF. (CTX2AP),['part number pcb board lf']
111,             Operation sequence should be 710 for the AI level child items.,['sequence child items level operation']
112,Need to check for the compliance label in the customer bom (Hungarian Lang in description of item). This part number should end with (-MP) and the Qty should be 1 (not zero). Always show the BOM structuring of (-MP) part in the BOM Analysis file (sheet2),['bom part mp analysis always']
113,"Need to check 772-00015-00 in the FRU bom in customer, then we need to replace with CTX-CON-LBL-N00083 in our system and the qty is 1 (CTX1AP).",['need fru ctxconlbln replace check']
114,"Need to check 768-00001-00 & 768-00007-00 in the bom from customer, then we need to replace with CTX-CUSTOMPOWERCORD in our system with (CTX1AP).",['need ctxcustompowercord replace system customer']
115,"Whenever there is a Software change, need to update the internal Revision for 850 and 830 boms.",['need internal software update boms']
116,Internal revision roll should not be done other than software change,['software do internal revision roll']
117,"whenever there is a change in the software(modify section) and when the CTX1DP is revision rolled, we need to mention the internal revision roll.",['revision roll need softwaremodify section']
118,Need to Check the ECO tracker if any specific item has been yet to be released with Future Effective date or any internal ECO has been created for the items,['eco create tracker item items']
119,For eg: CTX-8100019_B instead of CTX-8100019 (We need to use only CTX-8100019_B for Hasta & Gladius projects since in ZAL-CTX077177 Desc of change is - Modifying Rome/Thebes packaging to updated Gladius/Hasta Packaging),['ctxb package romethebes project need']
120,For eg: SATA Cable CTX-8070029(A) => CTX-8070075(A),['ctxa eg sata cable']
121,"Also , check for the stock. If the OLD PN stock is zero, then we need to use the new PN as if in the original BOM file",['pn stock old use need']
122,"If there is a new (-MP) BOM, then we need to add in CIF file as Semifinished BOM as given below",['bom cif new file semifinished']
123,Need to create the Internal ECO to reverse the changes happening in BOM ECO and the same to be updated in ECO tracker and Internal ECO tracker as below.,['eco internal tracker happen reverse']
124,"8.4.48.19. For the Internal and Arena MCO’s, the “MCO Sheet” in ECO_Material_Effects_Tracker needs to be updated with the Related Details.",['relate mco’s update sheet” “mco']
125,"8.4.48.20. For any Internal ECO Requests from Site, Cross verify the changes in Arena BOM and discuss the differences to Process Engineer and PJM. Based on the further confirmation proceed the Changes in our System.","['change internal cross engineer site', 'change proceed system base confirmation']"
126,Ware house details:,['detail house ware']
127,8.5.1.PCBA Assy (_AI) (CTX2BS) – 476039,['ctxbs pcba ai assy –']
128,8.5.2. GID and Bom warehouse under the (-MP) item should be 476054,['item mp bom gid warehouse']
129,8.5.3. GID and Bom warehouse under the (_AI) item should be 476026,['gid item ai bom warehouse']
130,8.5.4.  Purchased item warehouse should be 476110,['item purchase warehouse']
131,8.5.5. PCB (_LF) (CTX2AP) warehouse will be 476000,['ctxap lf pcb warehouse']
132,"8.5.6. Memory, Solid State Drive, Hard-drives, CPU items + these items with suffix the warehouse will be 476011",['items harddrives drive suffix warehouse']
133,"8.5.7.  Selection code for CTX for all the 850, 853 and 830 items",['code ctx items selection']
134,8.5.8. Material Consumption Warehouse :,['consumption material warehouse']
135,8.6 Operation Sequence: 900 – Purchased and Semi-finished phantom (CTX1AS),['semifinished purchase sequence ctxas phantom']
136,Accessory kit” item was to be set always with 900 Ops Seq - CTX1AS,['item ctxas ops seq accessory']
137,                                      860 – Semi-finished (CTX1BS),['ctxbs semifinished –']
138,"                                    903 – Packaging items (carton, Packaging kit, Bags etc.,) which are in customer BOM with „Packaging” Catergory",['package – customer catergory bom']
139,8.7 Routing Set up:  Items starts with 850 will have routing codes as 354,['rout cod items set start']
140,                                       Items starts with 853 will have routing codes as 354,['cod items rout start']
141,                                       Items starts with 830 will have routing codes as 355,['cod items rout start']
142,                                       PCBA Assy ends with (-MP) CTX2AM will have routing codes as 356,['mp end pcba assy ctxam']
143,GBS team is responsible to set up the STD routing for all the new MFR items except Phantom “Yes”,['mfr items set team phantom']
144,Site will responsible for “Customize Routing setup” and GBS team do not handle the customize routing set up.,['rout responsible set site gbs']
145,GBS team needs to ensure the availability of Routing operations after updating the routing Code in Baan for New BOMs (except Pre work BOMs).,['boms rout update new team']
146,If there is any Manufactured item except Phantom “Yes” and pre work item has blank routing operations in Baan for GO-Live customers should be reported to site.,['item report site phantom work']
147,8.8 Item Groups:,['group item']
148,CTX1AM – Normal Manufactured item;,['manufacture normal ctxam item –']
149,CTX1FM  - FRU Manufactured item   ;,['ctxfm fru item manufacture']
150,CTX1AP – Purchased item   ;   CTX1DP – F/w item   ;,['– item ctxdp fw purchase']
151,CTX1AS – Phantom S/F   ;   CTX1BS – Normal S/F,['– sf ctxbs normal phantom']
152,"CTX2PP – (in house printed parts, eg. Installation and user guides);",['– part installation guide user']
153,CTX2AM – PCBA with -MP ;   CTX2AP – PCB Purchased (_LF)  ;,['– pcba purchase mp pcb']
154, CTX2BS – Semi-finished (_AI),['ai ctxbs semifinished –']
155, CTX3AS – Kit accessory (-MP) Phantom item ;,['mp kit phantom accessory item']
156," CTX3AP – All the child items under Kit accessory (-MP) should have this item group, (except – Labels and user guide)",['– except guide items ctxap']
157,"(CTX2CP, CTX3AM, CTX3BS – Not used)",['ctxcp use ctxam ctxbs –']
158,8.9 Rework / Repair Items,['items repair rework']
159,Item Groups:,['group item']
160,Part number ends with suffix of _C (CTX1CM),['suffix ctxcm end number part']
161,Part number ends with suffix of _PC (CTX1CP),['suffix end number part pc']
162,Part number ends with suffix of _P (CTX1MP),['suffix end number p part']
163,"Part number ends with suffix of _NBCM, NBCZ (CTX1NM)",['number nbcz part ctxnm nbcm']
164,Part number ends with suffix of _NBC (CTX1RM),['suffix end nbc number part']
165,Part number ends with suffix of _CR (CTX1RP),['suffix ctxrp end number part']
166,8.10 CTXR – items will have item groups CTX1AP (purchased with No BOM),['group ctxr items purchase bom']
167,"8.11 Logistic team request to add ECCN codes, we need to add the values in ECCN – USA and ECCN – EU in the Form 1 (item addition session of the particular part number)",['eccn – add team usa']
168,8.12 For RMA parts (Citrix RMA Min & Citrix RMA Max) in form 2 (item addition session of the particular part number),['rma citrix part particular max']
169,8.13 When to Start Citrix ECO:,['citrix eco start']
170,Open and Unlocked status: Customer will start create the ECO,['start open status create eco']
171,Submitted for Routing: Customer has done modification for the ECO’s,['submit do eco’s modification rout']
172,Submitted Status: Flex need to analyze and start creating the CIF and Approval ECO’s,['need eco’s status start submit']
173,Effective Status: We can start implementing the ECO by processing the Change ECO or BOM ECO.,['eco process effective start status']
174,*But the implementation date should be confirmed by PJM when the Approval ECO/MCO move to Released status in Agile,['confirm but pjm release ecomco']
175,Summarized:,['summarize']
176,"In the case of when ECO moved to Effective from submitted, the correct steps should be the following as below:",['submit correct eco move step']
177,Need to check the ECO history,['check eco history need']
178,"Originally ECO-001246 was submitted, now effective.",['eco effective originally submit']
179,Note any changes between the two status,['change note status two']
180,"In normal ECO tracker, need to fill the effective date & notes section (“Waiting for implementation date”).",['effective eco note tracker implementation']
181,"In Arena ECO tracker, need to move the ECO from 1st sheet to 2nd sheet. So the normal ECO Tracker will be updated with the new status, title, category.",['eco sheet tracker title category']
182,Need to send only Effective mail,['effective mail need send']
183,Need to prepare CHG ECO and update the normal ECO tracker with the CHG ECO number.,['eco chg prepare tracker normal']
184,"Once the Approval ECO/MCO move to Released status in Agile, we need to ask implementation date from Flex team",['date ask need status flex']
185,"After implementation, we need to send implementation mail to flex team",['implementation flex mail need send']
186,"8.14 For Deviation: If the Expiration date is not given from customer, we can ask confirmation from PJM – Gabor Koppany",['date customer koppany pjm expiration']
187,8.14.1.Clarify and Confirm with PJM and Process Engineer when there is Rework on Deviation as below:,['deviation confirm pjm process below']
188,"8.14.2. Don’t need to send Deviation Expiration mail to Flex team, because we have already Expired and sent via Agile",['send already don’t need expire']
189,Key CFT members: PJM – Gabor Koppany,['members koppany pjm cft key']
190,                                   Process Engg – Tibor Istvan Varga,['– istvan process tibor varga']
191,                                   Test Engg – Tamas Toth,['test toth engg tamas –']
192,                                   Logistics Planner – Zsanett Lukacs,['planner zsanett logistics lukacs –']
193,                              NPI Buyer – Edina Major,['major npi buyer edina –']
194,Citrix CFT DL - #HU - ZAL Citrix ECO,['citrix cft dl eco hu']
195,8.14.3. New rules on Citrix project regarding ECO/MCO implementation:,['project new regard citrix implementation']
196,"8.14.3.1. When the Arena ECO has been effective, we need to send only “Effective mail” to Flex team and mention in ECO tracker Effectivity date and Notes column with “Waiting for implementation date in Released status”",['eco date send release need']
197,"8.14.3.2. When the Approval ECO/MCO move to Released status in Agile, we need to ask implementation date.",['move ecomco release need status']
198,"8.14.3.3 Once all approvers approve in Approved status (Approval ECO), GBS Team needs to ask for implementation date to CFT, This rule can applicable for customer ECO’s & Internal ECO’s without implementation date.",['approve eco’s implementation date status']
199,8.14.3.4. For all New BOM ECOs and new item ECOs need to be implemented immediately without additional mail confirmation from PJM.,['ecos new pjm mail implement']
200,"8.14.3.5.CFT given an input request along with Immediate implementations date, GBS does not require additional PJM’s approval for release the change ECO’s immediately, while approval ECO in CCB status.",['approval along eco pjm’s immediately']
201,"8.14.3.6. If CFT or PJM given an input request along with future implementation date, Release the Change ECO with Immediate Effect in Agile and Set the Future Implementation Date in BAAN without getting any additional approval from PJM’s.",['implementation date future agile input']
202,"8.14.3.7. If the PJM’s directly provide the implementation date along with input request, then no additional approval required from PJM. But GBS PDM team need to inform CFT regarding implementation date provided by PJM.","['pjm date provide implementation gbs', 'additional require along pjm’s implementation']"
203,8.14.3.8. PJM’s and CFT members should be notified regarding any effective date changes.,['effective date notify pjm’s cft']
204,"8.14.9.Implementation Date/Effectivity date changes will be updated in BAAN based on the Feedback from PJM’s during the weekly CFT call for the Customers SolarEdge, Citrix and Fire eye.",['pjm’s implementation date citrix base']
205,"8.14.3.10. After implementation, we need to send implementation mail to Flex team.",['implementation flex mail need send']
206,"8.14.3.11.. If somebody from CFT request additional Change ECO, GBS team need to inform about it rest CFT members and ask PJM confirmation, without PJM confirmation GBS team cannot implement that additional Change ECO into BAAN. Once additional Change ECO will be in BAAN, GBS team need to inform about it CFT members again. Effective date implementation need to be handled according newly agreed process.","['need team implementation gbs agree', 'additional cft eco change gbs']"
207,8.15 ECO Tracker,['eco tracker']
208,1st sheet – need to fill the details for the ECO and MCO,['mco fill sheet st detail']
209,2nd sheet – need to fill the details for Deviation  (expiration date is imp in the Deviation tracker sheet),['sheet deviation detail tracker expiration']
210,3rd sheet – need to fill details for Internal ECO,['internal fill rd sheet detail']
211,"Note : 1) After analyzing the ECO in Arena, same needs to be updated in both Arena tracker and citirx tracker. In Arena tracker ECO’s number can be duplicated but in citrix tracker same ECO number cant be duplicated again, it should be updated in the same line",['tracker arena update duplicate number']
212,"2)  Eventhough if the ECO is in query with the flex team, we need to move the ECO from sheet 1 to 2 in arena tracker and we need to update notes section in normal tracker.",['tracker need eco query section']
213,"8.15.1 If the ECO has no effect on Zala and No Baan Change, the ECO tracker to be filled with required fields as shown below (Notes – No effect on Zala, Status – Closed, Zala Agile Status – No BaaN Change , Agile Implementation Status – No Update in Agile).",['– status zala agile baan']
214,When the ECO Arena Status has been rolled back to “Cancelled Status” from “any status in Arena” then the ECO tracker has to be updated as below.,['eco status arena” “any update']
215,From (Old status – Any Status in Arena),['status old – arena']
216,To (New Status - Cancelled),['cancel new status']
217,8.15.2 a) Whenever there is a status Change from “Open and Unlocked” to “Submitted” need to start preparing the Description of Change. And the same to be updated in the Description column of the Normal ECO tracker.,['description change eco normal column']
218,"            b) Whenever there is a status change from “submitted” to “Effective” need to send effective mail to Flex team, need to update effectivity date in tracker and we need to proceed with the change ECO.",['need change tracker team whenever']
219,"           C) Whenever there is a status change, we need to check and update the description of ECO tracker as such in Arena",['check change tracker update eco']
220,"           d) Whenever there is a status change from submitted to submitted, we need to compare description of change of Arena and tracker, if there any discrepencies we need to change the same in approval, send and CIF. Finally we need to resubmit to CCB by adding approver again , with agile comments mentioning the changes",['change need submit whenever tracker']
221,8.16.. Whenever there is scenario of updating the Immediate Imp and Future Imp for the same Assy with 2 CHG ECO’s for single Approval ECO. Please follow the below procedure to update the Citrix Internal Tracker.,['imp update whenever follow procedure']
222,"8.17. Highlight the Future Change ECO’s in RED as shown below (CHG ECO no, Description, Baan Release Date)",['future eco’s red no highlight']
223,"Notes column to be added with the comments (for eg., ECO doesn’t affect Flex Zala, need confirmation CFT)",['zala need confirmation comment flex']
224,"Date received column in the tracker to be filled, when we start working on the customer ECO status in any status.",['status customer receive eco date']
225,"ECO changes need not to be highlighted in the ECO tracker as we do for other customers. (Item addition / deletion, Change Qty, New Bom etc.,)",['eco change deletion qty bom']
226,"8.18. Prepared description of change is missing. Note section has not been filled (e.g. awaiting  process engineer and buyer confirmation). Need to update the prepared description of Change to the Tracker and notes column to be updated, if any confirmation is pending from CFT or the info about Effective date.","['prepare description change confirmation miss', 'note update e section fill']"
227,"8.18.1. When the DEV has been rolled back from “Submitted” to “Submitted for Routing” as per the Arena Customer comment from History tab, we need to check the description of both status and if there is any Discrepanies, update the ECO tracker with updated new Description, Arena & General Status, Notes Section as below:",['status description update arena per']
228,"8.18.2. When we receive the Arena Deviaiton request as empty (affected Item, inventory section – empty)",['empty arena item request deviaiton']
229,"8.18.3. We need to analyse the description, from that we need to analyse the affected SKU’s.",['analyse need description sku’s affect']
230,8.18.4. We need to analyse the customer ECO,['analyse customer eco need']
231,We need to analyse the relationship related to that Deviation(affected PN’s),['relationship deviationaffected need pn’s relate']
232,        Key Steps for New Bom Upload for Citrix (FRU Bom),['bom fru step key new']
233,Receiving the new bom upload request from Logistics team,['request receive team bom new']
234,Search for the Assy number in Arena PLM in Items tab,['plm number search arena items']
235,Export the bom in excel format from Arena,['excel export arena bom format']
236,"While exporting the Bom from Arena, use the option named ZAL export and click Export now",['export option use zal name']
237,Exported bom will be available in the Downloads tab,['download export available bom tab']
238,Check all the 1st level items are available in our system (under 850 & 853 level) + check all the 2nd level items are available in our system (under 830 level),['level system available check items']
239,"A new item which was already in the system, but which is not used in BOM, we need to mention in New items in Flex Zala with comment as (Item Already in BaaN)",['new item already need system']
240," Need to replace item codes (e.g.: 772-00015-00 -> CTX-CON-LBL-N00083, or items with -MP)",['mp item need ctxconlbln items']
241,"Need to fill the key attributes like item group, description, Revision, qty and ref des, Op. Seq, warehouse. Etc., (in BOM upload file)",['warehouse etc seq des file']
242,CPN should be equal to parent item in bom upload file,['item file parent bom equal']
243,No need to truncate the description of item,['description item need truncate']
244,New bom upload – need approval from PJM or Process Engineer and/or NPI buyer (Edina Major) to load the bom in Agile (since need to review the replaced items and the item group of new items),['need new bom items npi']
245,No need to ask for implementation date from PJM for the New Bom upload (because it is a new BOM and not a new revision BOM.),['new bom implementation revision pjm']
246,Need to attach the Bom Upload file and BOM input file (which includes the customer BOM on sheet 1 and the flex BOM on sheet 2) in the Approval ECO,['bom file sheet input include']
247,"Need to add Label PN CTX-463-0026-0003 to all New BOM’s, QTY of the Label PN will be same as the Memory QTY of the new BOM",['new label pn qty bom’s']
248,FRU Bom Load Steps:,['bom fru load step']
249,        FRU BOM STRUCTURING,['bom fru structure']
250,Based on the Arena change status Review the ECO number & Pull the Item Export from the affected ECO through the export option.,['eco export review number pull']
251,The export file will be as follows.,['export file follow']
252,If the Top Level is indicated as with the part number 853 then it’s a FRU BOM & the Item Category will be FRU.,['fru it’s indicate number category']
253,"Once the BOM type is Identified, Pull the Dump file from BaaN to analyze the following.",['type bom dump identify pull']
254,New Item or Existing Item,['item exist new']
255,BaaN Revision,['baan revision']
256,Item Group,['group item']
257,Convert the Item number with CTX prefix & put an VLOOKUP with the BaaN dump to Compare it with our system.,['ctx convert put system item']
258,Add a comments column to identify what are the changes going to happen in the BOM.,['column change go happen add']
259,"If the Top Level is not available in our system, then Its New FRU BOM.",['new level system available fru']
260,"If any New Item’s, then follow the Revision as per the Arena system",['per new revision arena item’s']
261,If the BOM contains the LABLE part 476-CTX-772-00015-00 then change that to Internal part 476-CTX-CON-LBL-N00083 as per BaaN revision and & the QTY should be as per the part which is getting removed,['part per remove internal get']
262,If a Sub Assembly part is mentioned as a Purchased item in FLEX ZALA then we need to remove the Reporting child parts which will not exist in Flex ZALA.,['zala flex part report sub']
263,If there are any New Software parts are getting added in the BOM then we need to confirm the QTY  with PJM,['part need qty pjm software']
264,Once the changes are done we need to define the Operation Sequence for the item.,['need item operation change do']
265,We follow two different Operation sequence for FRU BOM.,['operation fru sequence bom follow']
266,"Packaging parts, Carton, Bag =903",['bag carton package part']
267,Semifinished Phantom & Purchased Item = 900,['item phantom purchase semifinished']
268,Once all the above modifications are done send the BOM file for Review to FLEX CFT team.,['team do file review send']
269,Once the BOM is approved start preparing the Approval ECO & BOM ECO.,['bom eco start approve prepare']
270,Then start preparing the BOM import file which will be used to import the BOM through BOM ECO.,['bom import start prepare file']
271,The BOM import file look as follows:,['follow import bom file look']
272,"The parent part, Description, Item Group, Rev, Customer Part number should be from the Top level of the BOM",['part number level rev parent']
273,The Ref Designator should be always “1”.,['always designator ref “”']
274,Fill all the field with the corresponding data from analyzed data file.,['data analyze correspond field file']
275,Phantom should be updated based on the Item Group,['item phantom base group update']
276,Even if the item is created already in Agile and BaaN we can make the changes to the bom upload file.,['bom baan item make create']
277,Add all the changes that GBS have analyzed in the comment column respective to the part number as shown below.,['number comment respective part show']
278,Trial Errors and Learnings,['errors learn trial']
279,Normal Bom Load Steps:,['bom load normal step']
280,Normal BOM STRUCTURING (850 & 830),['bom normal structure']
281,Based on the Arena change status Review the ECO number & Pull the Item Export form the affected ECO through the export option.,['export eco status number base']
282,The export file will be as follows.,['export file follow']
283,If the Top Level is indicated as with the part number 850 and 830 then it’s a Normal BOM structuring,['top it’s level part structure']
